Altium Designer Pick and Place Locations
C:\Users\Zach\Documents\GitHub\CGRA_board_3\Project Outputs for CGRA_Board_2\Pick Place for CGRA_Board_3.txt

========================================================================================================================
File Design Information:

Date:       25/08/21
Time:       11:43
Revision:   e7c0c346efec6d764e550279bc8afb82e1aff55e
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
C171.2     CAP_2.2uF_0402_25V         TopLayer    CAPC1005X06N              6188.000      4793.988      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2uF 25volts *Derate Voltage/Temp"                                                                   
C171.1     CAP_2.2uF_0402_25V         TopLayer    CAPC1005X06N              8132.000      4798.227      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2uF 25volts *Derate Voltage/Temp"                                                                   
D1         BAT400D                    TopLayer    SOT95P236X110-3N          687.920       1101.402      270      ""                                                                                                                                                       
CLK1       AD9552                     TopLayer    QFN50P500X500X80_HS-33N   8148.000      551.000       0        ""                                                                                                                                                       
R56        RES_10K_0603               TopLayer    RESC1608X06N              9996.000      1171.000      360      "RES SMD 10K OHM 1% 1/4W 0603"                                                                                                                           
R55        RES_240_0603               TopLayer    RESC1608X06N              4514.000      4049.000      270      "Res Thin Film 0603 240 Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R"                                                                 
R54        RES_240_0603               TopLayer    RESC1608X06N              4593.184      4049.000      270      "Res Thin Film 0603 240 Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R"                                                                 
R44        RES_240_0603               TopLayer    RESC1608X06N              4671.000      4049.000      270      "Res Thin Film 0603 240 Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R"                                                                 
R43        RES_10K_0603               TopLayer    RESC1608X06N              3379.000      412.001       270      "RES SMD 10K OHM 1% 1/4W 0603"                                                                                                                           
R40        RES_10K_0603               TopLayer    RESC1608X06N              3279.000      412.001       270      "RES SMD 10K OHM 1% 1/4W 0603"                                                                                                                           
